S6,S7,S5,S1,S1
P,S5,S4,S5,S8
SC,S7,S8,S7,S1
S1,S3,S3,S4,S1
S1,S7,S4,S3,S1
S7,S5,S1,S1,S4
S6,S2,S3,S3,S1
S5,S6,S1,S5,S3
S2,S2,S3,S6,S1
S4,S8,S1,S8,S3
S1,P,S1,S2,S2
S8,S2,S2,S5,S4
S5,S1,S5,S6,S7
S4,S6,S8,S7,S1
S7,S5,S1,S8,W
S2,S5,S2,S4,S3
S4,S1,S3,S5,S3
S7,S3,S7,S5,S1
S1,S3,S1,S1,S7
S4,S7,S8,S6,W
S6,S5,S3,S2,S1
S2,S6,S1,S8,S4
S1,S5,S8,S2,S1
S8,S2,S5,S1,S2
SC,S2,S4,S4,S1
S5,S4,S4,S6,S8
W,S8,S3,S7,S4
S4,S2,S4,S2,S1
S1,S3,S4,S5,S2
S7,S5,S4,W,S5
S7,S3,S6,S8,S3
S5,S4,S3,S3,S6
S4,S6,S5,S5,S8
S1,P,S4,S7,S8
S1,S6,S7,S2,S6
S4,S2,S3,S8,SC
S3,S1,S1,S5,S3
S5,S2,SC,S4,S4
S2,S5,S7,S3,S2
S1,S5,S2,S3,W
S6,S1,S7,S8,S5
S1,S7,S3,S4,S4
S4,S2,S4,S2,S4
S4,S1,S1,S4,S1
S6,W,S7,S6,S7
S5,S5,S3,S7,W
S5,S3,S6,S5,S7
S7,S8,S1,S1,S7
S1,S7,W,S3,S1
S6,S7,S3,S1,S1
S7,S1,S3,S2,S8
S4,S2,S7,S6,S6
W,S7,S4,S4,S5
S3,S8,S1,S1,S5
S3,S8,S4,S6,S4
S3,S8,S5,S2,S2
S6,S6,S2,S3,W
S1,W,S2,S4,S8
S2,S2,S3,S6,S7
S5,S3,S5,S2,S4
S3,S7,S1,S1,S6
S4,S6,S6,S6,S7
S8,S7,S5,S1,P
S1,S5,S6,S2,S4
S2,S6,S2,S1,S2
S2,S4,S1,S4,SC
S4,S1,S4,S4,S4
S3,S3,S5,S3,S5
S5,S3,S1,S7,S4
S5,S3,S2,S1,S6
S2,S6,S3,S5,S2
S2,P,S5,S1,S2
P,S1,S4,S2,S8
S4,S2,S7,W,S6
S3,S6,S5,S8,S2
S8,S3,S1,S3,S6
S1,S1,S5,S4,S3
S1,S2,S7,S2,S4
S4,S6,S1,S5,S5
S1,S1,S4,S5,S4
S6,S6,S7,SC,S2
S3,S5,W,S8,S3
S6,S1,S2,S4,S2
S2,S1,S4,S2,S3
S2,S4,S3,S4,S2
S3,S6,S6,S2,S6
S7,S7,S6,S3,P
S1,S5,S6,S5,S4
S2,S2,S2,S5,S7
S5,W,S5,S8,S4
S3,S3,S2,S4,S1
S4,S8,S7,S2,S2
P,S2,S5,W,S1
S5,S4,S5,S6,S1
S3,S2,S2,S8,S4
S6,S3,S6,S6,S2
S4,S1,S1,S3,S1
W,S3,S1,S2,S5
S5,S3,S2,S3,P
S4,S3,S1,S5,S1
S1,S4,S1,S4,S1
S4,S5,SC,S7,S5
P,S1,S8,S2,S6
S2,S4,S1,P,S8
S4,S1,S2,S2,S5
S3,S6,S3,S3,S2
S2,S7,S7,S3,S7
S2,S5,S1,S4,S2
S6,S2,S4,S3,S2
S1,S2,S2,S2,S6
S2,S7,S1,S6,S1
S5,S3,S6,S8,S7
S6,S3,S3,S7,S2
S1,S2,S8,S3,S6
S2,S1,S5,S1,S3
S3,S5,S1,S1,S1
S1,S1,S1,S5,S2
S7,S3,S3,S1,S3
S4,S2,S4,S5,S2
S2,S4,W,S2,S5
S2,S8,S8,S7,S8
S4,S6,S6,S4,S3
S6,W,S8,S6,S2
S6,S3,S3,S4,S2
S5,S1,S2,W,S5
S8,W,S1,S8,S2
S1,W,W,S7,S7
S2,S5,S4,S2,S3
S3,S2,S5,S4,S5
S1,S3,S2,S8,S7
S1,S5,S2,S5,S6
S2,W,S1,W,S2
S3,S6,S5,S7,S5
S2,S7,S4,S3,S5
W,S8,S2,S2,S5
S4,S8,S3,S3,S3
S4,S3,S1,S3,S7
S8,S5,S2,S1,S3
S5,S1,S1,S7,S3
S4,S3,S7,S7,S5
S6,S4,S4,S3,S4
S3,SC,S3,S1,S6
